2025-12-07 19:32:47,049 - INFO - Logging setup complete. Log file: /Users/adarshainamdar/Downloads/Major_Project-main/outputs/logs/training_pipeline.log
2025-12-07 20:07:58,812 - INFO - Epoch 43 | Val Type Acc: 0.9167
2025-12-07 20:08:03,445 - INFO - Epoch 44 | Val Type Acc: 0.9115
2025-12-07 20:08:08,071 - INFO - Epoch 45 | Val Type Acc: 0.8854
2025-12-07 20:08:12,701 - INFO - Epoch 46 | Val Type Acc: 0.9010
2025-12-07 20:08:17,290 - INFO - Epoch 47 | Val Type Acc: 0.9271
2025-12-07 20:08:22,013 - INFO - Epoch 48 | Val Type Acc: 0.9010
2025-12-07 20:08:26,633 - INFO - Epoch 49 | Val Type Acc: 0.9167
2025-12-07 20:08:31,280 - INFO - Epoch 50 | Val Type Acc: 0.9375
2025-12-07 20:08:35,874 - INFO - Epoch 51 | Val Type Acc: 0.9219
2025-12-07 20:08:40,542 - INFO - Epoch 52 | Val Type Acc: 0.9583
2025-12-07 20:08:45,162 - INFO - Epoch 53 | Val Type Acc: 0.9479
2025-12-07 20:08:49,809 - INFO - Epoch 54 | Val Type Acc: 0.9219
2025-12-07 20:08:54,417 - INFO - Epoch 55 | Val Type Acc: 0.9323
2025-12-07 20:08:59,013 - INFO - Epoch 56 | Val Type Acc: 0.9375
2025-12-07 20:09:03,653 - INFO - Epoch 57 | Val Type Acc: 0.9167
2025-12-07 20:09:08,301 - INFO - Epoch 58 | Val Type Acc: 0.9479
2025-12-07 20:09:12,942 - INFO - Epoch 59 | Val Type Acc: 0.9479
2025-12-07 20:09:17,493 - INFO - Epoch 60 | Val Type Acc: 0.9531
2025-12-07 20:09:22,153 - INFO - Epoch 61 | Val Type Acc: 0.9427
2025-12-07 20:09:26,748 - INFO - Epoch 62 | Val Type Acc: 0.8385
2025-12-07 20:09:31,424 - INFO - Epoch 63 | Val Type Acc: 0.8646
2025-12-07 20:09:36,001 - INFO - Epoch 64 | Val Type Acc: 0.8958
2025-12-07 20:09:40,646 - INFO - Epoch 65 | Val Type Acc: 0.9062
2025-12-07 20:09:45,263 - INFO - Epoch 66 | Val Type Acc: 0.8802
2025-12-07 20:09:49,864 - INFO - Epoch 67 | Val Type Acc: 0.9219
2025-12-07 20:09:54,477 - INFO - Epoch 68 | Val Type Acc: 0.9167
2025-12-07 20:09:59,175 - INFO - Epoch 69 | Val Type Acc: 0.9062
2025-12-07 20:10:03,887 - INFO - Epoch 70 | Val Type Acc: 0.9167
2025-12-07 20:10:08,537 - INFO - Epoch 71 | Val Type Acc: 0.8698
2025-12-07 20:10:13,938 - INFO - Epoch 72 | Val Type Acc: 0.8854
2025-12-07 20:10:19,044 - INFO - Epoch 73 | Val Type Acc: 0.9375
2025-12-07 20:10:23,976 - INFO - Epoch 74 | Val Type Acc: 0.9479
2025-12-07 20:10:28,645 - INFO - Epoch 75 | Val Type Acc: 0.9479
2025-12-07 20:10:33,255 - INFO - Epoch 76 | Val Type Acc: 0.9583
2025-12-07 20:10:37,846 - INFO - Epoch 77 | Val Type Acc: 0.9479
2025-12-07 20:10:42,469 - INFO - Epoch 78 | Val Type Acc: 0.9479
2025-12-07 20:10:47,061 - INFO - Epoch 79 | Val Type Acc: 0.9531
2025-12-07 20:10:51,664 - INFO - Epoch 80 | Val Type Acc: 0.9583
2025-12-07 20:10:56,273 - INFO - Epoch 81 | Val Type Acc: 0.9531
2025-12-07 20:11:00,865 - INFO - Epoch 82 | Val Type Acc: 0.9583
2025-12-07 20:11:05,469 - INFO - Epoch 83 | Val Type Acc: 0.9375
2025-12-07 20:11:10,160 - INFO - Epoch 84 | Val Type Acc: 0.9427
2025-12-07 20:11:14,801 - INFO - Epoch 85 | Val Type Acc: 0.9479
2025-12-07 20:11:19,366 - INFO - Epoch 86 | Val Type Acc: 0.9479
2025-12-07 20:11:24,017 - INFO - Epoch 87 | Val Type Acc: 0.9479
2025-12-07 20:11:28,656 - INFO - Epoch 88 | Val Type Acc: 0.9427
2025-12-07 20:11:34,487 - INFO - Epoch 89 | Val Type Acc: 0.9479
2025-12-07 20:11:40,131 - INFO - Epoch 90 | Val Type Acc: 0.9531
2025-12-07 20:11:44,971 - INFO - Epoch 91 | Val Type Acc: 0.9479
2025-12-07 20:11:50,198 - INFO - Epoch 92 | Val Type Acc: 0.9479
2025-12-07 20:11:54,836 - INFO - Epoch 93 | Val Type Acc: 0.9427
2025-12-07 20:11:59,386 - INFO - Epoch 94 | Val Type Acc: 0.8906
2025-12-07 20:12:03,990 - INFO - Epoch 95 | Val Type Acc: 0.9219
2025-12-07 20:12:08,648 - INFO - Epoch 96 | Val Type Acc: 0.9062
2025-12-07 20:12:13,251 - INFO - Epoch 97 | Val Type Acc: 0.8646
2025-12-07 20:12:17,817 - INFO - Epoch 98 | Val Type Acc: 0.8906
2025-12-07 20:12:22,387 - INFO - Epoch 99 | Val Type Acc: 0.9010
2025-12-07 20:12:28,148 - INFO - Epoch 100 | Val Type Acc: 0.9115
